time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/explained_variance,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/entropy_loss
1,38,213,8192,-500.35,97.9,,,,,,,,,,
2,60,272,16384,-212.02,42.86,0.0003,1014.650390625,0.1396728515625,3536.6593441963196,0.2,-0.0008108615875244141,0.011656085,10,-0.01724739966703055,-8.36549621000886
